flower	symbol
자스민 (하얀 자스민)	당신은 나의 것, 사랑스러움, 관능적
자스민 (노란 자스민)	은총, 우아함
발렌타인 자스민	사랑을 위해 멋을 부린 남자
브룬펠시아 자스민	사랑스러움, 당신은 나의 것
차이니스 자스민	당신은 나의 것, 사랑의 기쁨
제비꽃	성실, 겸양
제비꽃 (보란 제비꽃)	겸손, 성실, 사랑
제비꽃 (노란 제비꽃)	수줍은 사랑, 시골의 행복, 작은 기쁨
제비꽃 (하얀 제비꽃)	순진무구한 사랑, 순결, 천진난만한 사랑
제비꽃 (파란 제비꽃)	사랑
제비꽃 (분홍 제비꽃)	희망
흰젖 제비꽃	순진한 사랑
접시꽃	열렬한 연애, 풍요, 야망, 평안, 다산, 애절한 사랑, 집보기
접시꽃 (흰색 접시꽃)	단순, 평안, 단순한 사랑, 아양 떠는 사랑
접시꽃 (검은 접시꽃)	나는 사랑에 불탄다.
제라늄	그대와 함께하는 행복, 친구의 정, 결심
제라늄 (빨강무늬 제라늄)	쓸쓸한 사람이나 슬픈 사람들을 보면 어떻게서든 위로해주고 싶어하는 당신 자신도 쓸쓸해 하는 사람이군요
제라늄 (붉은 제라늄)	그대가 있어 사랑이 있네, 그대를 사랑합니다
제라늄 (로즈 제라늄)	그대로 인한 행복
제라늄 (하얀 제라늄)	저는 당신의 사랑을 신뢰하지 않습니다
제라늄 (분홍 제라늄)	결심, 결의
종려나무	승리, 쟁취
자작나무	당신을 기다립니다.
전나무	숭고, 정직, 승진, 고상함, 장엄
조팝나무	노련하다, 선언, 단정한 사랑, 당신의 생각대로입니다, 헛수고, 노력
주목나무	비애, 죽음, 명예, 고상함
진달래	절제, 청렴, 사랑의 즐거움, 사랑의 희열, 사랑의 기쁨
점나도나물	순진
쥐꼬리 망초	가련미의 극치
자운영	나의 행복, 그대의 관대한 사랑, 감화
중국패모	위엄
자목련	자연애, 은혜, 존경, 꽃피는 따뜻한 봄, 소중한 이웃님들 편안하시기를
좁은 입배 풍동	참을 수 없어
잡초의 꽃	실제적인 사람
짚신나물	감사
저먼더	경애, 담백
